TOI,TIC,Full TOI ID,TOI Disposition,TIC Right Ascension,TIC Declination,TMag Value,Orbital Period Value,Transit Depth Value,Surface Gravity Value,Planet Radius Value,Night,Effective Temperature Value
1281,232971294,1281.01,PC,199.44282579519,71.7211057853122,9.6635,6.3908823,360.0,4.27017,2.54868,210113,6191.0
1289,408203470,1289.01,PC,307.211334363466,33.4144668288502,12.9984,0.581321957121083,3206.60100155666,4.83941,2.20148861235589,191029,3446.0
1293,202504234,1293.01,PC,230.309893,63.565448,10.861,1.6849938,990.0,4.38,3.76716,200225,5923.0
1297,229536616,1297.01,PC,195.8212912,67.8234107,10.987,3.93034,9724.58,,14.8838,200225,6292.0
1301,356867115,1301.02,PC,275.8631335,71.5813784,10.522,,2143.37122665314,4.6,4.25825503960031,200226,4820.4
1301,356867115,1301.01,PC,275.8631335,71.5813784,10.522,6.09640744087736,1142.48917449077,4.6,2.58568530696171,200226,4820.4
1331,387664866,1331.01,PC,323.5486252,50.4815001,9.084,2.65646,773.369,3.4,12.1711,191029,6135.4
1346,219852882,1346.01,PC,256.6229152,68.8429161,10.726,5.50255772450521,844.7022675774,4.56,2.70497972395814,210322,4965.0
1346,219852882,1346.02,PC,256.6229152,68.8429161,10.726,1.76225372590622,733.555082176944,4.56,2.52358178713497,210322,4965.0
1394,431156009,1394.01,EB,340.3954515,51.9652166,9.443,2.9581592,550.0,4.13,3.82886,210929,6294.0
1410,199444169,1410.01,PC,334.8832427,42.5602694,10.192,1.2168732,1240.0,4.51,3.43106,210929,4634.6
1411,116483514,1411.01,CP,232.945068765127,47.0568358383098,9.1043,1.4520464,380.0,4.57376,1.4286,200225,4184.0
1413,119700084,1413.01,PC,333.252967901276,37.6277387939014,10.1188,6.11821285129936,1805.1895772547,4.51461,6.15798909551569,210929,5427.0
1416,158025009,1416.01,PC,216.924023751312,41.9534221206837,9.0739,1.0697611,340.0,4.53834,1.50924,200225,4946.0
1422,333473672,1422.01,CP,354.2412066,39.6394131,10.131,13.001789009595,1339.58376636582,4.46,3.84804999005971,210929,5914.0
1424,418959198,1424.01,PC,344.907247913412,36.5176432825312,10.5152,4.8962483678637,1186.02899254673,4.48318,3.52464678875798,210929,4528.99
1434,138588540,1434.01,PC,176.380576505618,65.5409849384222,8.0621,29.902663013458,760.597720754238,4.67802,2.02945629479193,200225,5393.86
1436,154383539,1436.01,PC,215.602456710283,55.3336741339096,11.0906,0.867588348400582,321.48409325254,4.6136,1.43024233396102,200225,5011.22
1437,198356533,1437.01,PC,256.138666953902,56.8426359444687,8.69378,18.84101,280.0,4.32207,2.11414,200225,6093.0
1447,298073824,1447.01,PC,201.336949732959,75.9827200551331,8.1033,1.2272251,40.0,4.438,2.8374,200225,6906.0
1450,377293776,1450.01,PC,286.853476698216,59.0859327170572,10.0306,2.04392678076552,465.192987490552,4.7606,1.09248075777287,210323,3407.0
1451,417931607,1451.01,PC,186.524333238891,61.2590446279684,8.9989,16.5379353,530.0,4.43068,2.47266,200225,5781.0
