#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   V      u      v      b      y      Hb_w   Hb_n     Mact
 1   8.97 -0.05  1.24968  0.403 3.812  4.328 10.70  0.117 0.00 14.464 14.573 16.351 15.394 14.896 14.555 14.727 11.654  1.250 
 1   8.97  0.07  1.57180  0.856 3.853  4.134 10.00  0.114 0.87 12.173 12.246 14.004 12.938 12.507 12.229 12.379  9.348  1.572 
 1   8.97  0.11  1.22613  0.320 3.795  4.334 11.00  0.139 0.94 14.389 14.531 16.503 15.511 14.908 14.512 14.711 11.621  1.226 
 1   8.97  0.23  1.18519  0.220 3.782  4.364 11.20  0.121 0.00 15.421 15.546 17.610 16.590 15.939 15.526 15.732 12.641  1.185 
 1   8.99 -0.03  1.03536 -0.027 3.762  4.473  9.60  0.130 0.71 14.256 14.492 16.701 15.670 14.936 14.467 14.711 11.595  1.035 
 1   8.99  0.31  0.52619 -1.337 3.595  4.823  6.40  0.073 0.00 14.512 15.735 19.610 17.661 16.558 15.660 16.261 13.121  0.526 
 1   9.01 -0.25  0.84583 -0.394 3.725  4.604  9.20  0.119 0.94 14.367 14.666 17.196 16.046 15.165 14.637 14.917 11.786  0.846 
 1   9.01 -0.23  1.12293  0.217 3.802  4.427 11.10  0.137 0.00 15.326 15.481 17.243 16.337 15.826 15.463 15.644 12.558  1.123 
 1   9.01  0.01  0.88196 -0.395 3.714  4.581  8.50  0.113 0.90 13.756 14.112 16.916 15.639 14.641 14.073 14.383 11.247  0.882 
 1   9.01  0.25  1.04353 -0.068 3.750  4.468  8.50  0.130 0.00 13.439 13.633 16.008 14.906 14.096 13.611 13.857 10.747  1.044 
 1   9.01  0.27  1.55575  0.806 3.835  4.111 10.00  0.138 0.97 12.076 12.157 14.008 12.927 12.446 12.140 12.302  9.263  1.556 
 1   9.03 -0.07  0.70786 -0.827 3.657  4.688  9.00  0.106 1.00 15.090 15.701 19.095 17.529 16.317 15.638 16.048 12.874  0.708 
 1   9.03  0.01  0.66210 -0.971 3.637  4.722  7.00  0.077 0.00 14.196 14.932 18.569 16.878 15.608 14.864 15.332 12.146  0.662 
 1   9.03  0.05  1.11498  0.122 3.777  4.417 10.30  0.136 0.00 14.765 14.924 16.948 15.962 15.323 14.904 15.114 12.014  1.115 
 1   9.03  0.27  0.89521 -0.407 3.705  4.563  9.10  0.128 0.00 14.887 15.232 18.169 16.837 15.777 15.194 15.508 12.378  0.895 
 1   9.05  0.05  1.36342  0.579 3.823  4.230 10.00  0.127 0.00 13.324 13.425 15.213 14.210 13.730 13.407 13.573 10.514  1.363 
 1   9.05  0.11  2.21787  2.331 3.639  1.954 13.80  0.117 0.91 12.280 12.956 16.985 15.200 13.748 12.927 13.377 10.255  2.218 
 1   9.05  0.15  0.81492 -0.596 3.680  4.612  8.60  0.125 0.00 14.859 15.335 18.542 17.071 15.915 15.282 15.644 12.493  0.815 
 1   9.05  0.25  0.93584 -0.308 3.719  4.537  9.00  0.131 0.76 14.282 14.658 17.508 16.219 15.203 14.621 14.938 11.808  0.936 
 1   9.05  0.39  1.16561  0.190 3.778  4.372  8.30  0.107 0.00 12.594 12.700 14.851 13.797 13.104 12.680 12.891  9.801  1.166 
 1   9.07 -0.09  0.72672 -0.770 3.665  4.676  8.90  0.128 0.70 15.334 15.989 19.343 17.801 16.617 15.929 16.344 13.177  0.727 
 1   9.07  0.01  0.72873 -0.793 3.657  4.669  8.50  0.131 0.76 14.921 15.642 19.146 17.526 16.295 15.577 16.020 12.846  0.729 
 1   9.07  0.01  1.74701  1.119 3.852  3.913 11.00  0.130 0.00 12.971 13.050 14.844 13.692 13.291 13.033 13.175 10.157  1.747 
